Category,New_Category
GLOBE,Home and Kitchen
ABRASIVE_SHEETS,Home and Kitchen
SURVEILANCE_SYSTEMS,Electronics
BLOWTORCH,Home and Kitchen
SOLDERING_IRON,Home and Kitchen
POTPOURRI_SACHET,Home and Kitchen
VEHICLE_CONTROL_ARM,Electronics
BED_SLATS,Home and Kitchen
FAUCET_WATER_AERATOR,Home and Kitchen
CONSUMER_SERVICES_SUBSCRIPTION,Electronics
IGNITION_COIL,Electronics
DART_FLIGHT,Sports and Outdoors
SPORT_TABLE_GAME,Sports and Outdoors
MATERIAL_HANDLING_TRUCK,Home and Kitchen
WHEEL_CUTTER,Home and Kitchen
CYCLING_TIRE_TUBE,Electronics
BICYCLE_BASKET,Electronics
JANITORIAL_SUPPLY,Home and Kitchen
SNOW_BLOWER,Home and Kitchen
ANIMAL_MUZZLE,Pet Supplies
NAPKIN_HOLDER,Home and Kitchen
LAMPSHADE,Home and Kitchen
MAGAZINES,Books
PRESSER_FOOT,Home and Kitchen
STETHOSCOPE,Beauty and Personal Care
IRONING_BOARD,Home and Kitchen
CRAFT_HOOP_FRAME,Home and Kitchen
VASE,Home and Kitchen
VEHICLE_CARGO_CARRIER,Electronics
PUSH_PULL_TOY,Toys and Games
WREATH,Home and Kitchen
BLANK_MEDIA,Electronics
BLANK_STORAGE_MEDIA,Electronics
SEEDS_AND_PLANTS,Home and Kitchen
SKEWER,Home and Kitchen
GARDEN_EDGING,Home and Kitchen
LAUNDRY_APPLIANCE,Home and Kitchen
FREESTANDING_SHELTER,Home and Kitchen
BOOK,Books
FRESH_CUT_FLOWERS_PLANTS,Home and Kitchen
WINE,Food
CLOTH_NAPKIN,Home and Kitchen
FINERING,"Clothing, Shoes, and Jewelry"
TOY_STROLLER,Toys and Games
TIRE_VALVE_STEM_CAP,Electronics
DINNERWARE,Home and Kitchen
NETWORK_SWITCH,Electronics
SPARK_PLUG,Electronics
MOTION_DETECTOR_DEVICE,Electronics
DOWNLOADABLE_TV_SEASON,Electronics
RICE_WINE,Food
BOOK_COVER,Books
NON_DAIRY_CHEESE,Food
BEAN_BAG_CHAIR,Home and Kitchen
ALARM,Electronics
BEARINGS_AND_BUSHINGS,Home and Kitchen
GOURMET_FOOD,Food
VEST,"Clothing, Shoes, and Jewelry"
FISHING_REEL,Sports and Outdoors
FISHING_EQUIPMENT,Sports and Outdoors
TOOL_CHUCK,Home and Kitchen
ABIS_SPORTS,Sports and Outdoors
HARDWARE_PIN,Home and Kitchen
WASHERS,Home and Kitchen
ELECTRICAL_OUTLET,Electronics
FURNITURE_CART,Home and Kitchen
POOL_COVER,Home and Kitchen
HOT_TUB,Home and Kitchen
INDOOR_GROW_ENCLOSURE,Home and Kitchen
SOLDERING_STATION,Home and Kitchen
FLEXIBLE_MAGNET,Home and Kitchen
KETTLEBELL,Sports and Outdoors
CARBURETOR,Electronics
BAKEWARE,Home and Kitchen
SCANNER,Electronics
BLEACH,Home and Kitchen
PRINTS_AND_POSTERS,Home and Kitchen
GOLF_PRACTICE_MAT,Sports and Outdoors
HAIR_REMOVAL_AND_SHAVING_PRODUCT,Beauty and Personal Care
ABIS_TOY,Toys and Games
GUILD_ACCESSORIES,"Clothing, Shoes, and Jewelry"
HEAT_TRANSFER_MATERIAL,Home and Kitchen
HEAT_PRESS,Home and Kitchen
ROUTER_POWER_TOOL,Home and Kitchen
ROUTER_BIT,Home and Kitchen
SURVEILLANCE_RECORDER_SYSTEM,Electronics
POOL_SPA_WATER_TREATMENT,Home and Kitchen
SOFTWARE_GAMES,Electronics
STREAMING_MUSIC_SUBSCRIPTION,Electronics
DIGITAL_DEVICE_12_ACCESSORY,Electronics
VEHICLE_MAT,Electronics
HARDWARE_NAIL,Home and Kitchen
VEHICLE_BUMPER,Electronics
WALKING_STICK,Home and Kitchen
LEVEL,Home and Kitchen
CUTLERY,Home and Kitchen
FUEL_FILTER,Electronics
LIGHTER_FLUID,Home and Kitchen
NICOTINE_REPLACEMENT,Beauty and Personal Care
PILL_CUTTER,Beauty and Personal Care
HUBCAP_WHEEL_COVER,Electronics
EPILATOR,Beauty and Personal Care
CAR_ALARM,Electronics
VEHICLE_WRAP,Electronics
SPORT_GOAL,Sports and Outdoors
SURFACE_PROTECTION_WAX,Home and Kitchen
COOLING_RACK,Home and Kitchen
VEHICLE_SPOILER,Electronics
CUFF_LINK,"Clothing, Shoes, and Jewelry"
CLEANING_PRODUCT,Home and Kitchen
POWER_SUPPLIES_OR_PROTECTION,Electronics
SPEAKER_AMPLIFIER_STAND,Electronics
SOIL_TILLER_CULTIVATOR,Home and Kitchen
ABIS_VIDEO_GAMES,Electronics
AUTOMOTIVE_HELMET,Sports and Outdoors
MOTORCYCLE_ACCESSORY,Electronics
FITNESS_STEPPER,Sports and Outdoors
MEAT_ALTERNATIVE,Food
SAFETY_HARNESS,Sports and Outdoors
PREPARED_DOUGH,Food
NON_DAIRY_ICE_CREAM,Food
VEHICLE_HORN,Electronics
AWNING,Home and Kitchen
AMAZON_DEVICE,Electronics
LIQUID_FUEL_CONTAINER,Home and Kitchen
MUFFLER,Electronics
MANNEQUIN_CLOTHING_FORM,"Clothing, Shoes, and Jewelry"
SNOWSHOE,Sports and Outdoors
BRAKE_ROTOR,Electronics
PILLOW_PROTECTOR,Home and Kitchen
CORRECTION_MATERIAL,Home and Kitchen
CAR_ELECTRONICS,Electronics
RIVET,Home and Kitchen
PAW_HOOF_PROTECTOR,Pet Supplies
NAIL_DRYER,Beauty and Personal Care
AXE,Home and Kitchen
GUN_SUPPORT,"Clothing, Shoes, and Jewelry"
CAMERA_ENCLOSURE,Electronics
FISHING_ROD_HOLDER,Sports and Outdoors
THREADING_TAPS,Home and Kitchen
ELECTRICITY_GENERATOR,Home and Kitchen
EYEWEAR,"Clothing, Shoes, and Jewelry"
HAND_FAN,Home and Kitchen
CABLE_ASSEMBLY,Electronics
METAL_DETECTOR,Home and Kitchen
POWERSPORT_VEHICLE_FOOTREST,Electronics
BOLTS,Home and Kitchen
ENGINE_WATER_PUMP,Electronics
DRAWER_SLIDE,Home and Kitchen
GIFT_XXRD,Electronics
ELECTRONIC_GIFT_XXRD,Electronics
PULL_UP_BAR,Sports and Outdoors
ABIS_KITCHEN,Home and Kitchen
MINIATURE_TOY_BUILDING,Toys and Games
MUSIC_POPULAR,Electronics
EXERCISE_STEP_PLATFORM,Sports and Outdoors
SMALL_HOME_APPLIANCES,Home and Kitchen
BLOWER_INFLATED_DECORATION,Home and Kitchen
INFLATABLE_BOUNCER,Home and Kitchen
KEYBOARD_TRAY,Home and Kitchen
FLOOR_COVER,Home and Kitchen
CISTERN,Home and Kitchen
IMPACT_PROTECTION_GEAR,Sports and Outdoors
CAMERA_LENS_ACCESSORY,Electronics
ELECTRONIC_COMPONENT_AMPLIFIER,Electronics
BODYSTOCKING,"Clothing, Shoes, and Jewelry"
GPS_OR_NAVIGATION_SYSTEM,Electronics
FOOD_COLORING,Food
HOME_ENTERTAINMENT_SERVICES,Electronics
FREEZER,Home and Kitchen
OUTBUILDING,Home and Kitchen
FASHIONRING,"Clothing, Shoes, and Jewelry"
ELECTRONIC_BOOK_READER,Electronics
TERMINAL_BLOCK,Electronics
VEHICLE_RAIL,Electronics
TUNER,Electronics
AIR_COOLER,Home and Kitchen
PROTOTYPING_BOARD,Electronics
ELECTRONIC_COMPONENT_LAMP_HOLDER,Electronics
IRRIGATION_EQUIPMENT,Home and Kitchen
ADULT_COSTUME,"Clothing, Shoes, and Jewelry"
SATELLITE_RECEIVER,Electronics
ABIS_LAWN_AND_GARDEN,Home and Kitchen
UNION_SUIT,"Clothing, Shoes, and Jewelry"
VENT_HOOD,Home and Kitchen
HOME_PARTS,Home and Kitchen
TIRES,Electronics
HANDLEBAR_GRIP,Electronics
CLIMBING_HOLD,Home and Kitchen
AIR_GUN,Sports and Outdoors
CARD_SHUFFLER,Home and Kitchen
CAMPING_EQUIPMENT,Home and Kitchen
SPORT_TARGET,Sports and Outdoors
FENCE_PANEL,Home and Kitchen
ROOM_DIVIDER,Home and Kitchen
HOT_MELT,Home and Kitchen
CAMERA_FLASH,Electronics
CIGARETTE_CASE,Home and Kitchen
BIRDBATH,Home and Kitchen
COLLECTIBLES,Home and Kitchen
ELECTRICAL_HOUSING,Electronics
BICYCLE_SEATPOST,Electronics
TOW_HITCH,Electronics
BAKING_STONE,Home and Kitchen
CHAINSAW_CHAIN,Home and Kitchen
GREASE_GUN,Home and Kitchen
SHOCK_ABSORBER,Electronics
SHOE_BAG,"Clothing, Shoes, and Jewelry"
KINDLE_UNLIMITED_MEMBERSHIP,Electronics
FRAGRANCE,Beauty and Personal Care
SHOE_POLISH,"Clothing, Shoes, and Jewelry"
SPORT_FACE_MASK,Sports and Outdoors
COLLECTIBLE_COINS,Home and Kitchen
COSTUME_FACIAL_HAIR,"Clothing, Shoes, and Jewelry"
KARAOKE_MACHINE,Electronics
WIND_SPINNER,Home and Kitchen
END_MILLS,Home and Kitchen
SALWAR_SUIT_SET,"Clothing, Shoes, and Jewelry"
ROLLER_CHAIN,Home and Kitchen
TRAILER_HITCH_COVER,Electronics
WORKBENCH,Home and Kitchen
FISHING_WEIGHT,Sports and Outdoors
Health and Beauty,Beauty and Personal Care
Misc.,Home and Kitchen
Paperback,Books
Kitchen,Home and Kitchen
HOUSEHOLD_STAIN,Home and Kitchen
PULLEYS,Home and Kitchen
FISHING_ROD,Sports and Outdoors
SPORT_NET,Sports and Outdoors
GOLF_CLUB_COVER,Sports and Outdoors
NETWORK_ACCESSORY,Electronics
SNOWSUIT,"Clothing, Shoes, and Jewelry"
TOFU,Food
NON_DAIRY_YOGURT,Food
SWORD,Sports and Outdoors
WHEELCHAIR,Home and Kitchen
ABIS_BEAUTY,Beauty and Personal Care
STAMPS,Home and Kitchen
DIVE_MASK,Sports and Outdoors
SHAVING_BRUSH,Beauty and Personal Care
GOLF_CLUB_BAG,Sports and Outdoors
SELF_BALANCING_ELECTRIC_VEHICLE,Electronics
TOPICALS,Beauty and Personal Care
ABIS_PC,Electronics
ACCELERATION_SENSOR,Electronics
DIP_SWITCH,Electronics
CE_CARRYING_CASE_OR_BAG,Electronics
SWIM_FIN,Sports and Outdoors
HANDLE_GRIP,Home and Kitchen
PHOTOGRAPHIC_STUDIO_ITEMS,Electronics
CUTICLE_PUSHER,Beauty and Personal Care
GROMMETS,Home and Kitchen
SPORTS_DRINK,Food
DAIRY_BASED_PUDDING,Food
PERCUSSION_INSTRUMENTS,Electronics
AUDIO_MIDI_CONTROLLER,Electronics
BULLION,Home and Kitchen
MATERIAL_CERTIFICATION,Home and Kitchen
FINEEARRING,"Clothing, Shoes, and Jewelry"
KIMONO,"Clothing, Shoes, and Jewelry"
MEDICAL_DEVICE,Beauty and Personal Care
PRINTED_PRODUCT,Home and Kitchen
O_RINGS,Home and Kitchen
LINEAR_GUIDES_AND_RAILS,Home and Kitchen
POWERSPORTS_RIDING_APPAREL,Sports and Outdoors
DISC_GRINDER_TOOL,Home and Kitchen
KITE,Home and Kitchen
RECEIVER_OR_AMPLIFIER,Electronics
DONUT,Food
CARPETING,Home and Kitchen
RADAR_DETECTOR,Electronics
CAMERA_POWER_SUPPLY,Electronics
SNOW_CHAIN,Electronics
SNOWBOARD_BOOT,Sports and Outdoors
NAPKIN_RING,Home and Kitchen
BICYCLE_TRAILER,Electronics
MEDICAL_SCRUB_SET,"Clothing, Shoes, and Jewelry"
SEAFOOD,Food
POWERSPORTS_PROTECTIVE_GEAR,Sports and Outdoors
CYCLING_WHEEL,Electronics
HAMMOCK_STAND,Home and Kitchen
PA_SYSTEM,Electronics
ENTERTAINMENT_MEMORABILIA,Home and Kitchen
APPLIANCE_ACCESSORY,Home and Kitchen
HEATING_STOVE,Home and Kitchen
DIGITAL_DEVICE_7,Electronics
WINDSHIELD_SNOW_COVER,Electronics
GUILD_PET_SUPPLIES,Pet Supplies
ELECTRONIC_CONTROLLER,Electronics
SPORT_WETSUIT,Sports and Outdoors
LOCATION_TRACKER,Electronics
DIGITAL_VIDEO_RECORDER,Electronics
LETTER_OPENER,Home and Kitchen
VIDEO_VHS,Electronics
AUDIO_CD_PLAYER,Electronics
PADDLEBOARD,Sports and Outdoors
PET_FUR_DEODORIZER,Pet Supplies
INCUBATOR,Home and Kitchen
ABIS_ELECTRONICS,Electronics
SPORTS_MEMORABILIA,Sports and Outdoors
THREADED_RODS_AND_STUDS,Home and Kitchen
CAR_AUDIO_OR_THEATER,Electronics
NON_DAIRY_PUDDING,Food
ETHNIC_WEAR,"Clothing, Shoes, and Jewelry"
KURTA,"Clothing, Shoes, and Jewelry"
TOW_SPORTS_LINE,Sports and Outdoors
TIRE_COVER,Electronics
URN,Home and Kitchen
CYCLING_COMPUTER,Electronics
ARTIFICIAL_SNOW,Home and Kitchen
TRANSISTOR,Electronics
HOME_THEATER_SYSTEM_OR_HTIB,Electronics
SAREE,"Clothing, Shoes, and Jewelry"
PORTABLE_AV_DEVICE,Electronics
WIRELESS_SERVICE_PLAN,Electronics
BAG,"Clothing, Shoes, and Jewelry"
STREAMING_VIDEO_SUBSCRIPTION,Electronics
FUDGE,Food
VEHICLE_EXTERIOR_GUARD,Electronics
LIGHT_EMITTING_DIODE,Electronics
BELTS,"Clothing, Shoes, and Jewelry"
COMPRESSION_SPRINGS,Home and Kitchen
3D_PRINTING_PEN,Electronics
MODEL,Home and Kitchen
DIGITAL_DEVICE_19_ACCESSORY,Electronics
ELECTRONIC_CIGARETTE,Electronics
SECURITY_SYSTEM,Electronics
AGILITY_LADDER,Sports and Outdoors
PORTABLE_ELECTRONICS,Electronics
FOOTWEAR,"Clothing, Shoes, and Jewelry"
DOWNLOADABLE_TV_SERIES,Electronics
DVD_PLAYER_OR_RECORDER,Electronics
PHOTOGRAPHIC_PAPER,Electronics
HARDWARE_SPACER,Home and Kitchen
ABIS_HOME_IMPROVEMENT,Home and Kitchen
ABIS_WIRELESS,Electronics
POWERSPORTS_VEHICLE,Electronics
CHOLI,"Clothing, Shoes, and Jewelry"
TEMPEH,Food
GLOVES,"Clothing, Shoes, and Jewelry"
SALAD_SPINNER,Home and Kitchen
SOFTWARE,Electronics
PIPET,Home and Kitchen
STROLLER_PROTECTION_SHIELD,Home and Kitchen
PHOTOGRAPHIC_LIGHTING,Electronics
ELECTRICAL_DISTRIBUTION_BOARD,Electronics
VEHICLE_LIFT_KIT,Electronics
TOW_HITCH_LOCK,Electronics
COMPUTER_SPEAKER,Electronics
PLASTIC_TUBING,Home and Kitchen
BOX_SPRING,Home and Kitchen
FLASK,Home and Kitchen
COSTUME,"Clothing, Shoes, and Jewelry"
MULTIFUNCTION_DEVICE,Electronics
DOWNLOADABLE_SOFTWARE,Electronics
CYCLING_EQUIPMENT,Sports and Outdoors
PREPARED_AND_PRESERVED_FOOD,Food
CIGAR_CUTTER,Home and Kitchen
GARBAGE_DISPOSAL_UNIT,Home and Kitchen
TRADING_CARDS_FACTORY_SEALED,Home and Kitchen
DENT_REMOVAL_TOOL,Home and Kitchen
ABIS_EBOOKS,Electronics
GUN_RACK,"Clothing, Shoes, and Jewelry"
WHISTLE,Home and Kitchen
SNOWBOARD_BINDING,Sports and Outdoors
BALL_LAUNCHER,Sports and Outdoors
MISC_WORLD_INSTRUMENTS,Electronics
SKILL_APPLICATION,Home and Kitchen
ELECTRONIC_CIGARETTE_LIQUID,Electronics
BED_LINEN,Home and Kitchen
CAMERA_PRIVACY_COVER,Electronics
TRADING_CARDS_MISC_TRADING_CARDS,Home and Kitchen
WIRELESS_DEVICE,Electronics
RAM_MEMORY,Electronics
EXTRACT,Food
RELISH,Food
LAB_UTENSIL,Home and Kitchen
SHOWER_ENCLOSURE,Home and Kitchen
FOOD_MILL_GRINDER,Home and Kitchen
ELECTRONIC_KNOB,Electronics
PIE,Food
STEERING_WHEEL,Electronics
METALS,Home and Kitchen
CLEANING_WIPE_DISPENSER,Home and Kitchen
INTERCONNECT,Electronics
AGRICULTURAL_SUPPLIES,Home and Kitchen
MUSIC_POPULAR_VINYL,Electronics
MACHINE_THREADING_TOOL,Home and Kitchen
WASHER_DRYER_COMBINATION,Home and Kitchen
PRODUCT,Home and Kitchen
SPORT_BINDING,Sports and Outdoors
FLOWERS,Home and Kitchen
DIGITAL_DEVICE_5_ACCESSORY,Electronics
NONACTIVATED_GIFT_CARD,Electronics
MOTORCYCLE_PART,Electronics
OUTBOARD_MOTOR,Electronics
CAMERA_BAGS_AND_CASES,Electronics
FOOD_OR_BEVERAGE_ RMER,Home and Kitchen
THREADSEALING_ADHESIVES,Home and Kitchen
HORSE_TACK_EQUIPMENT,Home and Kitchen
BICYCLE_DERAILLEUR,Electronics
VEHICLE_WINDOW,Electronics
SHAFT_COLLAR,Home and Kitchen
MUSIC,Electronics
POWER_RACK,Sports and Outdoors
GAME_CALL,Sports and Outdoors
HUMIDOR,Home and Kitchen
OPTOELECTRONIC_COMPONENT,Electronics
COOKING_OVEN,Home and Kitchen
SASH,"Clothing, Shoes, and Jewelry"
FASHION_JEWELRY,"Clothing, Shoes, and Jewelry"
SPORTING_AND_OUTDOOR_GOODS,Sports and Outdoors
VIBRATION_SENSOR,Electronics
SEWING_MACHINE_BOBBIN,Home and Kitchen
SPORT_BOARD_SKI,Sports and Outdoors
SPORT_POM_POM,Sports and Outdoors
Sports,Sports and Outdoors
Tools & Home Improvement,Home and Kitchen
Electronics,Electronics
,
Office Product,Office Product
WIRELESS_LOCKED_PHONE,Electronics
POWER_WINCHES,Home and Kitchen
BEVERAGE_DISPENSING_APPLIANCE,Home and Kitchen
CONTACT_LENSES,Beauty and Personal Care
VEGETARIAN_EGG_SUBSTITUTE,Food
GIFTS_AND_OCCASIONS,Home and Kitchen
CABLE,Electronics
PENCIL_LEAD_REFILL,Office Product
ABRASIVE_DISCS,Home and Kitchen
FUEL_INJECTOR,Electronics
WATERCRAFT_PADDLE,Sports and Outdoors
MEDICAL_SUPPLIES,Beauty and Personal Care
WINDOW_INSULATION_KIT,Home and Kitchen
BABY_FOOD,Food
POWER_TRANSFORMER,Electronics
SNACK_FOOD,Food
SOIL_AERATOR,Home and Kitchen
FLEXIBLE_COUPLINGS,Home and Kitchen
METAL_TUBING,Home and Kitchen
CAMERA_STAGE_LIGHTING_FILTER_DIFFUSER,Electronics
CLOTH_WRAP,Home and Kitchen
PHOTOGRAPHIC_LIGHT_METER,Electronics
TRADING_CARDS_UNGRADED_INSERTS,Home and Kitchen
TEMPERATURE_CONTROLLER,Home and Kitchen
LAB_PUMP,Home and Kitchen
Hardcover,Books
PRINTED_MEDIA,Home and Kitchen
POWERSPORTS_RIDING_GLOVES,Sports and Outdoors
ABIS_BABY_PRODUCT,Home and Kitchen
ANTI_SLIP_BATHTUB_SHOWER_MAT,Home and Kitchen
CHANGING_TABLE,Home and Kitchen
TICKET_ROLL,Home and Kitchen
ZENER_DIODE,Electronics
FIXED_RESISTOR,Electronics
DUPATTA,"Clothing, Shoes, and Jewelry"
PC_BOARD_RELAY,Electronics
VCR,Electronics
HOSIERY,"Clothing, Shoes, and Jewelry"
HEALTH_FOOD,Food
SEALS,Home and Kitchen
BABY_COSTUME,"Clothing, Shoes, and Jewelry"
COCKTAIL_MIX,Food
VIDEO_PROJECTOR_PART,Electronics
VEHICLE_BRAKE_CALIPER,Electronics
VEHICLE_BALL_JOINT,Electronics
WATCHES,"Clothing, Shoes, and Jewelry"
FSN_DEVICES,Electronics
